datum,antwoord nummer,url
2016-01-04,2015D50784,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1010
2016-01-04,2015D50769,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1012
2016-01-04,2015D50778,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1011
2016-01-05,2015D51064,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1020
2016-01-05,2016D00050,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1013
2016-01-05,2015D51066,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1019
2016-01-06,2016D00085,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1023
2016-01-06,2015D51256,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1026
2016-01-06,2016D00083,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1025
2016-01-06,2016D00086,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1022
2016-01-06,2016D00084,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1024
2016-01-06,2016D00146,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1028
2016-01-07,2016D00175,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1045
2016-01-07,2015D51020,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1038
2016-01-07,2016D00342,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1054
2016-01-07,2015D51024,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1037
2016-01-07,2016D00184,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1046
2016-01-07,2016D00178,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1040
2016-01-07,2016D00179,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1039
2016-01-07,2016D00237,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1049
2016-01-07,2016D00176,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1041
2016-01-07,2015D50933,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1042
2016-01-07,2016D00174,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1044
2016-01-07,2016D00155,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1043
2016-01-07,2016D00355,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1058
2016-01-08,2016D00350,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1056
2016-01-08,2016D00365,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1059
2016-01-08,2016D00334,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1051
2016-01-08,2016D00256,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1053
2016-01-08,2016D00351,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1055
2016-01-08,2016D00353,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1057
2016-01-08,2016D00290,
2016-01-08,2016D00333,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1050
2016-01-11,2016D00223,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1074
2016-01-11,2016D00224,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1072
2016-01-11,2016D00396,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1070
2016-01-11,2016D00431,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1078
2016-01-11,2016D00439,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1080
2016-01-11,2016D00337,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1076
2016-01-11,2016D00436,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1081
2016-01-12,2016D00561,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1094
2016-01-12,2016D00536,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1097
2016-01-12,2016D00552,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1092
2016-01-12,2016D00488,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1090
2016-01-12,2016D00612,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1096
2016-01-12,2016D00565,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1095
2016-01-12,2016D00632,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1091
2016-01-12,2016D00542,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1093
2016-01-12,2016D00514,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1089
2016-01-12,2016D00543,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1098
2016-01-13,2016D00715,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1121
2016-01-13,2016D01090,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1106
2016-01-13,2016D00824,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1129
2016-01-13,2016D00724,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1122
2016-01-13,2016D00725,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1104
2016-01-13,2016D00774,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1134
2016-01-13,2016D00731,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1137
2016-01-13,2016D00787,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1128
2016-01-13,2016D00722,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1117
2016-01-13,2016D00756,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1125
2016-01-13,2016D00741,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1131
2016-01-13,2016D00785,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1127
2016-01-13,2016D01083,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1105
2016-01-13,2016D00729,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1120
2016-01-13,2016D00680,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1126
2016-01-13,2016D00799,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1124
2016-01-13,2016D00821,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1103
2016-01-13,2016D00728,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1119
2016-01-13,2016D00737,https://zoek.officielebekendmakingen.nl/ah-tk-20152016-1138
