datum gepubliceerd,dossier nr,dossier toevoeging,kamerstuk ondernummer,url
2010-01-05,32149,,2,https://zoek.officielebekendmakingen.nl/kst-32149-2
2010-01-05,29736,,51,https://zoek.officielebekendmakingen.nl/kst-29736-51
2010-01-05,30413,,137,https://zoek.officielebekendmakingen.nl/kst-30413-137
2010-01-05,32123,V,65,https://zoek.officielebekendmakingen.nl/kst-32123-V-65
2010-01-05,21501,31,197,https://zoek.officielebekendmakingen.nl/kst-21501-31-197
2010-01-07,21501,30,219,https://zoek.officielebekendmakingen.nl/kst-21501-30-219
2010-01-07,31371,,302,https://zoek.officielebekendmakingen.nl/kst-31371-302
2010-01-07,31209,,111,https://zoek.officielebekendmakingen.nl/kst-31209-111
2010-01-07,32123,X,92,https://zoek.officielebekendmakingen.nl/kst-32123-X-92
2010-01-07,21501,07,688,https://zoek.officielebekendmakingen.nl/kst-21501-07-688
2010-01-07,32123,VII,60,https://zoek.officielebekendmakingen.nl/kst-32123-VII-60
2010-01-12,31532,,26,https://zoek.officielebekendmakingen.nl/kst-31532-26
2010-01-12,25847,,86,https://zoek.officielebekendmakingen.nl/kst-25847-86
2010-01-12,31874,,67,https://zoek.officielebekendmakingen.nl/kst-31874-67
2010-01-12,21501,02,940,https://zoek.officielebekendmakingen.nl/kst-21501-02-940
2010-01-12,32279,,2,https://zoek.officielebekendmakingen.nl/kst-32279-2
2010-01-12,17050,,395,https://zoek.officielebekendmakingen.nl/kst-17050-395
2010-01-12,31777,,20,https://zoek.officielebekendmakingen.nl/kst-31777-20
2010-01-12,22112,,993,https://zoek.officielebekendmakingen.nl/kst-22112-993
2010-01-12,21501,33,252,https://zoek.officielebekendmakingen.nl/kst-21501-33-252
2010-01-12,26485,,82,https://zoek.officielebekendmakingen.nl/kst-26485-82
2010-01-13,32054,,2,https://zoek.officielebekendmakingen.nl/kst-32054-2
2010-01-13,31511,,4,https://zoek.officielebekendmakingen.nl/kst-31511-4
2010-01-13,32175,,7,https://zoek.officielebekendmakingen.nl/kst-32175-7
2010-01-13,21501,08,324,https://zoek.officielebekendmakingen.nl/kst-21501-08-324
2010-01-13,29507,,90,https://zoek.officielebekendmakingen.nl/kst-29507-90
2010-01-14,30517,,16,https://zoek.officielebekendmakingen.nl/kst-30517-16
2010-01-14,29237,,115,https://zoek.officielebekendmakingen.nl/kst-29237-115
2010-01-14,29214,,45,https://zoek.officielebekendmakingen.nl/kst-29214-45
2010-01-14,30597,,132,https://zoek.officielebekendmakingen.nl/kst-30597-132
2010-01-14,31865,,17,https://zoek.officielebekendmakingen.nl/kst-31865-17
2010-01-14,30080,,42,https://zoek.officielebekendmakingen.nl/kst-30080-42
2010-01-14,21501,32,377,https://zoek.officielebekendmakingen.nl/kst-21501-32-377
2010-01-14,21501,03,51,https://zoek.officielebekendmakingen.nl/kst-21501-03-51
2010-01-14,26485,,83,https://zoek.officielebekendmakingen.nl/kst-26485-83
2010-01-14,21501,20,462,https://zoek.officielebekendmakingen.nl/kst-21501-20-462
2010-01-14,24587,,372,https://zoek.officielebekendmakingen.nl/kst-24587-372
2010-01-14,26283,,55,https://zoek.officielebekendmakingen.nl/kst-26283-55
2010-01-14,28676,,97,https://zoek.officielebekendmakingen.nl/kst-28676-97
2010-01-14,31986,,3,https://zoek.officielebekendmakingen.nl/kst-31986-3
2010-01-18,24557,,116,https://zoek.officielebekendmakingen.nl/kst-24557-116
2010-01-18,29675,,91,https://zoek.officielebekendmakingen.nl/kst-29675-91
2010-01-18,26447,,53,https://zoek.officielebekendmakingen.nl/kst-26447-53
2010-01-18,31789,,35,https://zoek.officielebekendmakingen.nl/kst-31789-35
2010-01-19,23490,,596,https://zoek.officielebekendmakingen.nl/kst-23490-596
2010-01-19,32005,,4,https://zoek.officielebekendmakingen.nl/kst-32005-4
2010-01-21,28286,,356,https://zoek.officielebekendmakingen.nl/kst-28286-356
2010-01-21,31305,,168,https://zoek.officielebekendmakingen.nl/kst-31305-168
2010-01-21,26419,,39,https://zoek.officielebekendmakingen.nl/kst-26419-39
2010-01-21,31332,,13,https://zoek.officielebekendmakingen.nl/kst-31332-13
2010-01-22,27017,,65,https://zoek.officielebekendmakingen.nl/kst-27017-65
2010-01-22,31524,,44,https://zoek.officielebekendmakingen.nl/kst-31524-44
2010-01-22,19637,,1317,https://zoek.officielebekendmakingen.nl/kst-19637-1317
2010-01-22,29659,,45,https://zoek.officielebekendmakingen.nl/kst-29659-45
2010-01-25,30012,,31,https://zoek.officielebekendmakingen.nl/kst-30012-31
2010-01-25,28286,,358,https://zoek.officielebekendmakingen.nl/kst-28286-358
2010-01-25,29521,,133,https://zoek.officielebekendmakingen.nl/kst-29521-133
2010-01-25,21501,32,379,https://zoek.officielebekendmakingen.nl/kst-21501-32-379
2010-01-26,29325,,50,https://zoek.officielebekendmakingen.nl/kst-29325-50
2010-01-26,31239,,90,https://zoek.officielebekendmakingen.nl/kst-31239-90
2010-01-26,26631,,325,https://zoek.officielebekendmakingen.nl/kst-26631-325
2010-01-27,28844,,42,https://zoek.officielebekendmakingen.nl/kst-28844-42
2010-01-27,23490,,597,https://zoek.officielebekendmakingen.nl/kst-23490-597
2010-01-27,31311,,37,https://zoek.officielebekendmakingen.nl/kst-31311-37
2010-01-27,21501,33,255,https://zoek.officielebekendmakingen.nl/kst-21501-33-255
2010-01-27,32201,,10,https://zoek.officielebekendmakingen.nl/kst-32201-10
2010-02-01,29398,,203,https://zoek.officielebekendmakingen.nl/kst-29398-203
2010-02-01,29628,,187,https://zoek.officielebekendmakingen.nl/kst-29628-187
2010-02-02,21501,33,256,https://zoek.officielebekendmakingen.nl/kst-21501-33-256
2010-02-02,24515,,175,https://zoek.officielebekendmakingen.nl/kst-24515-175
2010-02-02,31839,,36,https://zoek.officielebekendmakingen.nl/kst-31839-36
2010-02-03,27925,,380,https://zoek.officielebekendmakingen.nl/kst-27925-380
2010-02-03,31895,,7,https://zoek.officielebekendmakingen.nl/kst-31895-7
2010-02-08,31793,,32,https://zoek.officielebekendmakingen.nl/kst-31793-32
2010-02-09,21501,33,264,https://zoek.officielebekendmakingen.nl/kst-21501-33-264
2010-02-10,28286,,374,https://zoek.officielebekendmakingen.nl/kst-28286-374
2010-02-10,31409,,26,https://zoek.officielebekendmakingen.nl/kst-31409-26
2010-02-10,28479,,52,https://zoek.officielebekendmakingen.nl/kst-28479-52
2010-02-10,31369,,10,https://zoek.officielebekendmakingen.nl/kst-31369-10
2010-02-16,29549,,52,https://zoek.officielebekendmakingen.nl/kst-29549-52
2010-02-16,28684,,265,https://zoek.officielebekendmakingen.nl/kst-28684-265
2010-02-16,29515,,314,https://zoek.officielebekendmakingen.nl/kst-29515-314
2010-02-16,29279,,102,https://zoek.officielebekendmakingen.nl/kst-29279-102
2010-02-16,32293,,3,https://zoek.officielebekendmakingen.nl/kst-32293-3
2010-02-18,32317,,5,https://zoek.officielebekendmakingen.nl/kst-32317-5
2010-02-19,31288,,85,https://zoek.officielebekendmakingen.nl/kst-31288-85
2010-02-19,32123,XV,52,https://zoek.officielebekendmakingen.nl/kst-32123-XV-52
2010-02-25,31293,,68,https://zoek.officielebekendmakingen.nl/kst-31293-68
2010-02-25,31288,,86,https://zoek.officielebekendmakingen.nl/kst-31288-86
2010-02-25,21501,02,944,https://zoek.officielebekendmakingen.nl/kst-21501-02-944
2010-03-01,31293,,71,https://zoek.officielebekendmakingen.nl/kst-31293-71
2010-03-01,32123,X,102,https://zoek.officielebekendmakingen.nl/kst-32123-X-102
2010-03-01,31532,,37,https://zoek.officielebekendmakingen.nl/kst-31532-37
2010-03-01,27925,,386,https://zoek.officielebekendmakingen.nl/kst-27925-386
2010-03-01,31532,,36,https://zoek.officielebekendmakingen.nl/kst-31532-36
2010-03-01,24587,,377,https://zoek.officielebekendmakingen.nl/kst-24587-377
2010-03-03,19637,,1330,https://zoek.officielebekendmakingen.nl/kst-19637-1330
2010-03-03,28676,,101,https://zoek.officielebekendmakingen.nl/kst-28676-101
2010-03-03,27625,,159,https://zoek.officielebekendmakingen.nl/kst-27625-159
2010-03-03,30545,,87,https://zoek.officielebekendmakingen.nl/kst-30545-87
2010-03-04,29453,,156,https://zoek.officielebekendmakingen.nl/kst-29453-156
2010-03-04,25424,,98,https://zoek.officielebekendmakingen.nl/kst-25424-98
2010-03-04,32123,X,103,https://zoek.officielebekendmakingen.nl/kst-32123-X-103
2010-03-04,24691,,107,https://zoek.officielebekendmakingen.nl/kst-24691-107
2010-03-04,27858,,82,https://zoek.officielebekendmakingen.nl/kst-27858-82
2010-03-04,29502,,28,https://zoek.officielebekendmakingen.nl/kst-29502-28
2010-03-04,29689,,292,https://zoek.officielebekendmakingen.nl/kst-29689-292
2010-03-04,29453,,154,https://zoek.officielebekendmakingen.nl/kst-29453-154
2010-03-04,28165,,108,https://zoek.officielebekendmakingen.nl/kst-28165-108
2010-03-04,29398,,209,https://zoek.officielebekendmakingen.nl/kst-29398-209
2010-03-04,27830,,72,https://zoek.officielebekendmakingen.nl/kst-27830-72
2010-03-05,28684,,268,https://zoek.officielebekendmakingen.nl/kst-28684-268
2010-03-05,27428,,160,https://zoek.officielebekendmakingen.nl/kst-27428-160
