datum gepubliceerd,dossier nr,dossier toevoeging,kamerstuk volgnummer,url
2013-01-03,21501,02,1207,https://zoek.officielebekendmakingen.nl/kst-21501-02-1207,vaste commissie voor Buitenlandse Zaken
2013-01-03,25883,,216,https://zoek.officielebekendmakingen.nl/kst-25883-216,vaste commissie voor Sociale Zaken en Werkgelegenheid
2013-01-03,21501,31,301,https://zoek.officielebekendmakingen.nl/kst-21501-31-301,vaste commissie voor Sociale Zaken en Werkgelegenheid
2013-01-04,21501,02,1208,https://zoek.officielebekendmakingen.nl/kst-21501-02-1208,algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking
2013-01-04,29344,,114,https://zoek.officielebekendmakingen.nl/kst-29344-114,vaste commissie voor Veiligheid en Justitie
2013-01-04,33227,,12,https://zoek.officielebekendmakingen.nl/kst-33227-12,vaste commissie voor Financiën
2013-01-04,21501,07,982,https://zoek.officielebekendmakingen.nl/kst-21501-07-982,vaste commissie voor Financiën
2013-01-04,32317,,149,https://zoek.officielebekendmakingen.nl/kst-32317-149,vaste commissie voor Veiligheid en Justitie
2013-01-04,21501,33,401,https://zoek.officielebekendmakingen.nl/kst-21501-33-401,vaste commissie voor Economische Zaken
2013-01-04,32733,,100,https://zoek.officielebekendmakingen.nl/kst-32733-100,vaste commissie voor Defensie
2013-01-04,23987,,127,https://zoek.officielebekendmakingen.nl/kst-23987-127,vaste commissie voor Europese Zaken
2013-01-15,26643,,265,https://zoek.officielebekendmakingen.nl/kst-26643-265,vaste commissie voor Veiligheid en Justitie
2013-01-15,23432,,341,https://zoek.officielebekendmakingen.nl/kst-23432-341,vaste commissie voor Buitenlandse Zaken
2013-01-15,29237,,146,https://zoek.officielebekendmakingen.nl/kst-29237-146,algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking
2013-01-15,17050,,426,https://zoek.officielebekendmakingen.nl/kst-17050-426,vaste commissie voor Sociale Zaken en Werkgelegenheid
2013-01-15,32757,,56,https://zoek.officielebekendmakingen.nl/kst-32757-56,algemene commissie voor Wonen en Rijksdienst
2013-01-16,31265,,45,https://zoek.officielebekendmakingen.nl/kst-31265-45,vaste commissie voor Veiligheid en Justitie
2013-01-16,21501,33,404,https://zoek.officielebekendmakingen.nl/kst-21501-33-404,vaste commissie voor Economische Zaken
2013-01-16,21501,33,403,https://zoek.officielebekendmakingen.nl/kst-21501-33-403,vaste commissie voor Infrastructuur en Milieu
2013-01-16,31793,,75,https://zoek.officielebekendmakingen.nl/kst-31793-75,vaste commissie voor Infrastructuur en Milieu
2013-01-16,29453,,287,https://zoek.officielebekendmakingen.nl/kst-29453-287,algemene commissie voor Wonen en Rijksdienst
2013-01-21,24077,,307,https://zoek.officielebekendmakingen.nl/kst-24077-307,vaste commissie voor Veiligheid en Justitie
2013-01-21,21501,02,1211,https://zoek.officielebekendmakingen.nl/kst-21501-02-1211,vaste commissie voor Europese Zaken
2013-01-21,28165,,143,https://zoek.officielebekendmakingen.nl/kst-28165-143,vaste commissie voor Financiën
2013-01-21,33033,,12,https://zoek.officielebekendmakingen.nl/kst-33033-12,vaste commissie voor Veiligheid en Justitie
2013-01-21,22112,,1540,https://zoek.officielebekendmakingen.nl/kst-22112-1540,vaste commissie voor Binnenlandse Zaken
2013-01-21,33400,A,44,https://zoek.officielebekendmakingen.nl/kst-33400-A-44,vaste commissie voor Infrastructuur en Milieu
2013-01-22,22831,,84,https://zoek.officielebekendmakingen.nl/kst-22831-84,vaste commissie voor Buitenlandse Zaken
2013-01-22,24587,,483,https://zoek.officielebekendmakingen.nl/kst-24587-483,vaste commissie voor Veiligheid en Justitie
2013-01-23,33400,VI,88,https://zoek.officielebekendmakingen.nl/kst-33400-VI-88,vaste commissie voor Veiligheid en Justitie
2013-01-23,27529,,122,https://zoek.officielebekendmakingen.nl/kst-27529-122,vaste commissie voor Volksgezondheid, Welzijn en Sport
2013-01-23,33400,XVI,131,https://zoek.officielebekendmakingen.nl/kst-33400-XVI-131,vaste commissie voor Volksgezondheid, Welzijn en Sport
2013-01-23,21501,08,452,https://zoek.officielebekendmakingen.nl/kst-21501-08-452,vaste commissie voor Infrastructuur en Milieu
2013-01-23,33400,X,63,https://zoek.officielebekendmakingen.nl/kst-33400-X-63,vaste commissie voor Defensie
2013-01-24,32279,,52,https://zoek.officielebekendmakingen.nl/kst-32279-52,vaste commissie voor Volksgezondheid, Welzijn en Sport
2013-01-24,29911,,76,https://zoek.officielebekendmakingen.nl/kst-29911-76,vaste commissie voor Veiligheid en Justitie
2013-01-24,33400,VI,89,https://zoek.officielebekendmakingen.nl/kst-33400-VI-89,vaste commissie voor Veiligheid en Justitie
2013-01-24,32813,,42,https://zoek.officielebekendmakingen.nl/kst-32813-42,vaste commissie voor Infrastructuur en Milieu
2013-01-29,29477,,222,https://zoek.officielebekendmakingen.nl/kst-29477-222,vaste commissie voor Volksgezondheid, Welzijn en Sport
2013-01-29,31936,,130,https://zoek.officielebekendmakingen.nl/kst-31936-130,vaste commissie voor Infrastructuur en Milieu
2013-01-29,31015,,85,https://zoek.officielebekendmakingen.nl/kst-31015-85,vaste commissie voor Veiligheid en Justitie
2013-01-29,30573,,113,https://zoek.officielebekendmakingen.nl/kst-30573-113,algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking
2013-01-30,28684,,372,https://zoek.officielebekendmakingen.nl/kst-28684-372,vaste commissie voor Binnenlandse Zaken
2013-01-31,29984,,378,https://zoek.officielebekendmakingen.nl/kst-29984-378,vaste commissie voor Infrastructuur en Milieu
2013-01-31,29344,,115,https://zoek.officielebekendmakingen.nl/kst-29344-115,vaste commissie voor Veiligheid en Justitie
2013-01-31,26956,,146,https://zoek.officielebekendmakingen.nl/kst-26956-146,vaste commissie voor Veiligheid en Justitie
2013-01-31,32623,,84,https://zoek.officielebekendmakingen.nl/kst-32623-84,vaste commissie voor Buitenlandse Zaken
2013-01-31,32317,,163,https://zoek.officielebekendmakingen.nl/kst-32317-163,vaste commissie voor Veiligheid en Justitie
2013-01-31,32847,,40,https://zoek.officielebekendmakingen.nl/kst-32847-40,algemene commissie voor Wonen en Rijksdienst
2013-01-31,21501,20,728,https://zoek.officielebekendmakingen.nl/kst-21501-20-728,vaste commissie voor Europese Zaken
2013-02-05,32317,,155,https://zoek.officielebekendmakingen.nl/kst-32317-155,vaste commissie voor Veiligheid en Justitie
2013-02-05,29407,,161,https://zoek.officielebekendmakingen.nl/kst-29407-161,vaste commissie voor Sociale Zaken en Werkgelegenheid
2013-02-05,21501,02,1218,https://zoek.officielebekendmakingen.nl/kst-21501-02-1218,vaste commissie voor Buitenlandse Zaken
2013-02-05,21501,07,1006,https://zoek.officielebekendmakingen.nl/kst-21501-07-1006,vaste commissie voor Financiën
2013-02-05,29521,,203,https://zoek.officielebekendmakingen.nl/kst-29521-203,vaste commissie voor Buitenlandse Zaken
2013-02-19,21501,07,1010,https://zoek.officielebekendmakingen.nl/kst-21501-07-1010,vaste commissie voor Financiën
2013-02-19,24515,,253,https://zoek.officielebekendmakingen.nl/kst-24515-253,vaste commissie voor Sociale Zaken en Werkgelegenheid
2013-02-19,25087,,48,https://zoek.officielebekendmakingen.nl/kst-25087-48,vaste commissie voor Financiën
2013-02-19,33483,,5,https://zoek.officielebekendmakingen.nl/kst-33483-5,vaste commissie voor Onderwijs, Cultuur en Wetenschap
2013-02-20,31409,,52,https://zoek.officielebekendmakingen.nl/kst-31409-52,vaste commissie voor Infrastructuur en Milieu
2013-02-21,29628,,368,https://zoek.officielebekendmakingen.nl/kst-29628-368,vaste commissie voor Veiligheid en Justitie
2013-02-21,21501,32,695,https://zoek.officielebekendmakingen.nl/kst-21501-32-695,vaste commissie voor Economische Zaken
2013-03-07,21501,02,1226,https://zoek.officielebekendmakingen.nl/kst-21501-02-1226,vaste commissie voor Europese Zaken
2013-03-07,21501,31,306,https://zoek.officielebekendmakingen.nl/kst-21501-31-306,vaste commissie voor Sociale Zaken en Werkgelegenheid
2013-03-07,21501,28,93,https://zoek.officielebekendmakingen.nl/kst-21501-28-93,vaste commissie voor Defensie
2013-03-11,21501,02,1227,https://zoek.officielebekendmakingen.nl/kst-21501-02-1227,vaste commissie voor Buitenlandse Zaken
2013-03-11,26991,,341,https://zoek.officielebekendmakingen.nl/kst-26991-341,vaste commissie voor Economische Zaken
2013-03-11,21501,04,151,https://zoek.officielebekendmakingen.nl/kst-21501-04-151,algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking
2013-03-11,29398,,362,https://zoek.officielebekendmakingen.nl/kst-29398-362,vaste commissie voor Infrastructuur en Milieu
2013-03-12,32163,,31,https://zoek.officielebekendmakingen.nl/kst-32163-31,vaste commissie voor Sociale Zaken en Werkgelegenheid
2013-03-12,28694,,111,https://zoek.officielebekendmakingen.nl/kst-28694-111,vaste commissie voor Infrastructuur en Milieu
2013-03-12,31531,,23,https://zoek.officielebekendmakingen.nl/kst-31531-23,vaste commissie voor Economische Zaken
2013-03-12,22112,,1581,https://zoek.officielebekendmakingen.nl/kst-22112-1581,vaste commissie voor Europese Zaken
2013-03-12,29817,,125,https://zoek.officielebekendmakingen.nl/kst-29817-125,vaste commissie voor Sociale Zaken en Werkgelegenheid
2013-03-14,22112,,1582,https://zoek.officielebekendmakingen.nl/kst-22112-1582,vaste commissie voor Koninkrijksrelaties
