datum gepubliceerd,dossier nr,dossier toevoeging,kamerstuk volgnummer,url,commissie
2015-01-08,29984,,575,https://zoek.officielebekendmakingen.nl/kst-29984-575,"vaste commissie voor Infrastructuur en Milieu"
2015-01-08,29279,,221,https://zoek.officielebekendmakingen.nl/kst-29279-221,"vaste commissie voor Veiligheid en Justitie"
2015-01-13,31757,,58,https://zoek.officielebekendmakingen.nl/kst-31757-58,"algemene commissie voor Wonen en Rijksdienst"
2015-01-13,29538,,174,https://zoek.officielebekendmakingen.nl/kst-29538-174,"vaste commissie voor Volksgezondheid, Welzijn en Sport"
2015-01-13,21501,02,1449,https://zoek.officielebekendmakingen.nl/kst-21501-02-1449,"vaste commissie voor Europese Zaken"
2015-01-13,25883,,246,https://zoek.officielebekendmakingen.nl/kst-25883-246,"vaste commissie voor Sociale Zaken en Werkgelegenheid"
2015-01-13,33997,,27,https://zoek.officielebekendmakingen.nl/kst-33997-27,"vaste commissie voor Buitenlandse Zaken"
2015-01-15,34000,IV,31,https://zoek.officielebekendmakingen.nl/kst-34000-IV-31,"vaste commissie voor Koninkrijksrelaties"
2015-01-19,24095,,379,https://zoek.officielebekendmakingen.nl/kst-24095-379,"vaste commissie voor Economische Zaken"
2015-01-19,27923,,198,https://zoek.officielebekendmakingen.nl/kst-27923-198,"vaste commissie voor Onderwijs, Cultuur en Wetenschap"
2015-01-19,31568,,149,https://zoek.officielebekendmakingen.nl/kst-31568-149,"vaste commissie voor Veiligheid en Justitie"
2015-01-19,32824,,86,https://zoek.officielebekendmakingen.nl/kst-32824-86,"vaste commissie voor Sociale Zaken en Werkgelegenheid"
2015-01-19,34000,VII,39,https://zoek.officielebekendmakingen.nl/kst-34000-VII-39,"vaste commissie voor Binnenlandse Zaken"
2015-01-20,29838,,79,https://zoek.officielebekendmakingen.nl/kst-29838-79,"vaste commissie voor Veiligheid en Justitie"
2015-01-20,32637,,163,https://zoek.officielebekendmakingen.nl/kst-32637-163,"vaste commissie voor Economische Zaken"
2015-01-20,21501,32,822,https://zoek.officielebekendmakingen.nl/kst-21501-32-822,"vaste commissie voor Economische Zaken"
2015-01-20,33977,,5,https://zoek.officielebekendmakingen.nl/kst-33977-5,"vaste commissie voor Financiën"
2015-01-20,32847,,149,https://zoek.officielebekendmakingen.nl/kst-32847-149,"algemene commissie voor Wonen en Rijksdienst"
2015-01-22,32279,,67,https://zoek.officielebekendmakingen.nl/kst-32279-67,"vaste commissie voor Volksgezondheid, Welzijn en Sport"
2015-01-22,21501,02,1450,https://zoek.officielebekendmakingen.nl/kst-21501-02-1450,"vaste commissie voor Buitenlandse Zaken"
2015-01-22,30545,,150,https://zoek.officielebekendmakingen.nl/kst-30545-150,"vaste commissie voor Sociale Zaken en Werkgelegenheid"
2015-01-22,32647,,40,https://zoek.officielebekendmakingen.nl/kst-32647-40,"vaste commissie voor Volksgezondheid, Welzijn en Sport"
2015-01-22,31322,,267,https://zoek.officielebekendmakingen.nl/kst-31322-267,"vaste commissie voor Sociale Zaken en Werkgelegenheid"
2015-01-26,33858,,32,https://zoek.officielebekendmakingen.nl/kst-33858-32,"vaste commissie voor Infrastructuur en Milieu"
2015-01-26,33920,,12,https://zoek.officielebekendmakingen.nl/kst-33920-12,"TK"
2015-01-29,21501,07,1231,https://zoek.officielebekendmakingen.nl/kst-21501-07-1231,"vaste commissie voor Financiën"
2015-02-04,29544,,585,https://zoek.officielebekendmakingen.nl/kst-29544-585,"vaste commissie voor Sociale Zaken en Werkgelegenheid"
2015-02-04,27859,,74,https://zoek.officielebekendmakingen.nl/kst-27859-74,"vaste commissie voor Binnenlandse Zaken"
2015-02-09,25295,,25,https://zoek.officielebekendmakingen.nl/kst-25295-25,"vaste commissie voor Volksgezondheid, Welzijn en Sport"
2015-02-09,21501,33,522,https://zoek.officielebekendmakingen.nl/kst-21501-33-522,"vaste commissie voor Economische Zaken"
2015-02-09,29453,,365,https://zoek.officielebekendmakingen.nl/kst-29453-365,"algemene commissie voor Wonen en Rijksdienst"
2015-02-09,33876,,6,https://zoek.officielebekendmakingen.nl/kst-33876-6,"vaste commissie voor Binnenlandse Zaken"
2015-02-09,32317,,267,https://zoek.officielebekendmakingen.nl/kst-32317-267,"vaste commissie voor Veiligheid en Justitie"
2015-02-09,29521,,280,https://zoek.officielebekendmakingen.nl/kst-29521-280,"vaste commissie voor Buitenlandse Zaken"
2015-02-09,33436,,41,https://zoek.officielebekendmakingen.nl/kst-33436-41,"algemene commissie voor Wonen en Rijksdienst"
2015-02-09,33268,,27,https://zoek.officielebekendmakingen.nl/kst-33268-27,"vaste commissie voor Binnenlandse Zaken"
2015-02-10,32336,,40,https://zoek.officielebekendmakingen.nl/kst-32336-40,"vaste commissie voor Economische Zaken"
2015-02-10,29521,,282,https://zoek.officielebekendmakingen.nl/kst-29521-282,"vaste commissie voor Defensie"
2015-02-10,27858,,297,https://zoek.officielebekendmakingen.nl/kst-27858-297,"vaste commissie voor Economische Zaken"
2015-02-10,32317,,268,https://zoek.officielebekendmakingen.nl/kst-32317-268,"vaste commissie voor Veiligheid en Justitie"
2015-02-10,21501,04,167,https://zoek.officielebekendmakingen.nl/kst-21501-04-167,"algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking"
2015-02-10,32637,,167,https://zoek.officielebekendmakingen.nl/kst-32637-167,"vaste commissie voor Economische Zaken"
2015-02-10,21501,33,523,https://zoek.officielebekendmakingen.nl/kst-21501-33-523,"vaste commissie voor Infrastructuur en Milieu"
2015-02-11,21501,08,547,https://zoek.officielebekendmakingen.nl/kst-21501-08-547,"vaste commissie voor Infrastructuur en Milieu"
2015-02-11,24077,,342,https://zoek.officielebekendmakingen.nl/kst-24077-342,"vaste commissie voor Volksgezondheid, Welzijn en Sport"
2015-02-15,29521,,286,https://zoek.officielebekendmakingen.nl/kst-29521-286,"vaste commissie voor Buitenlandse Zaken"
2015-02-16,28807,,186,https://zoek.officielebekendmakingen.nl/kst-28807-186,"vaste commissie voor Economische Zaken"
2015-02-16,32013,,94,https://zoek.officielebekendmakingen.nl/kst-32013-94,"vaste commissie voor Financiën"
2015-02-16,22831,,104,https://zoek.officielebekendmakingen.nl/kst-22831-104,"algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking"
