datum,dossier nr,dossier toevoeging,kamerstuk ondernummer,url
2016-01-27,31289,,284,https://zoek.officielebekendmakingen.nl/kst-31289-284
2016-01-27,29984,,653,https://zoek.officielebekendmakingen.nl/kst-29984-653
2016-01-27,28676,,236,https://zoek.officielebekendmakingen.nl/kst-28676-236
2016-01-27,26448,,553,https://zoek.officielebekendmakingen.nl/kst-26448-553
2016-02-03,21501,04,181,https://zoek.officielebekendmakingen.nl/kst-21501-04-181
2016-02-03,32847,,215,https://zoek.officielebekendmakingen.nl/kst-32847-215
2016-02-03,32317,,384,https://zoek.officielebekendmakingen.nl/kst-32317-384
2016-02-03,34334,,8,https://zoek.officielebekendmakingen.nl/kst-34334-8
2016-02-03,26485,,217,https://zoek.officielebekendmakingen.nl/kst-26485-217
2016-02-03,31765,,191,https://zoek.officielebekendmakingen.nl/kst-31765-191
2016-02-04,30136,,48,https://zoek.officielebekendmakingen.nl/kst-30136-48
2016-02-04,31757,,88,https://zoek.officielebekendmakingen.nl/kst-31757-88
2016-02-09,21501,33,576,https://zoek.officielebekendmakingen.nl/kst-21501-33-576
2016-02-09,34300,IV,37,https://zoek.officielebekendmakingen.nl/kst-34300-IV-37
2016-02-10,29538,,202,https://zoek.officielebekendmakingen.nl/kst-29538-202
2016-02-10,25657,,233,https://zoek.officielebekendmakingen.nl/kst-25657-233
2016-02-10,32847,,216,https://zoek.officielebekendmakingen.nl/kst-32847-216
2016-02-10,21501,07,1344,https://zoek.officielebekendmakingen.nl/kst-21501-07-1344
2016-02-10,20454,,122,https://zoek.officielebekendmakingen.nl/kst-20454-122
2016-02-10,29984,,654,https://zoek.officielebekendmakingen.nl/kst-29984-654
2016-02-10,34300,VII,55,https://zoek.officielebekendmakingen.nl/kst-34300-VII-55
2016-02-10,27925,,583,https://zoek.officielebekendmakingen.nl/kst-27925-583
2016-02-10,31765,,192,https://zoek.officielebekendmakingen.nl/kst-31765-192
2016-02-11,29754,,357,https://zoek.officielebekendmakingen.nl/kst-29754-357
2016-02-17,32317,,389,https://zoek.officielebekendmakingen.nl/kst-32317-389
2016-02-17,33495,,92,https://zoek.officielebekendmakingen.nl/kst-33495-92
2016-02-17,34386,,4,https://zoek.officielebekendmakingen.nl/kst-34386-4
2016-02-17,29023,,203,https://zoek.officielebekendmakingen.nl/kst-29023-203
2016-02-17,30872,,204,https://zoek.officielebekendmakingen.nl/kst-30872-204
2016-02-17,29515,,376,https://zoek.officielebekendmakingen.nl/kst-29515-376
2016-02-17,23235,,134,https://zoek.officielebekendmakingen.nl/kst-23235-134
